zone,kind,lat,lng,stops,devices,med_dwell_min
Bedok,residential,1.32614,103.92849,206697,58633,62.1
Hougang,residential,1.3727,103.88262,201738,57849,64.6
Geylang,residential,1.32799,103.89002,161766,54468,53.4
Toa Payoh,residential,1.33279,103.8588,152267,51761,55.9
Ang Mo Kio,residential,1.37329,103.84232,160815,48401,63.6
Bugis,cbd,1.2975,103.85639,86675,44783,48.8
Yishun,residential,1.42655,103.83791,165342,43455,75.8
Jurong West,residential,1.34005,103.70804,161189,43424,65.8
Orchard,leisure,1.30453,103.83103,104286,41740,57.2
Sengkang,residential,1.39006,103.8935,159830,40318,84.4
Woodlands,residential,1.43786,103.79193,144221,40246,72.7
Tampines,residential,1.35324,103.94367,147985,39445,78.5
Choa Chu Kang,residential,1.38579,103.74676,152268,37774,70.8
Serangoon,residential,1.35365,103.87119,107312,35598,60.6
Jurong East,cbd,1.33259,103.74271,104108,35021,69.5
Clementi,residential,1.31983,103.76678,110761,33431,59.3
Bukit Batok,residential,1.35438,103.75851,103449,32029,62.2
Punggol,residential,1.4021,103.90653,118830,30468,84.7
Kallang,residential,1.31416,103.87064,80839,30246,59.9
Little India,leisure,1.30744,103.85126,62066,28380,56.1
Bukit Panjang,residential,1.37746,103.77502,97775,28221,65.6
Pasir Ris,residential,1.37294,103.94734,97481,27174,79.3
Sembawang,residential,1.44986,103.81779,95545,25971,79.0
Bukit Merah,residential,1.28603,103.81925,79971,25807,63.9
Bukit Timah,residential,1.32969,103.7973,76551,24735,54.8
Raffles Place / CBD,cbd,1.28561,103.85074,51796,21262,55.0
East Coast,leisure,1.31035,103.91362,65839,21181,57.3
Tiong Bahru,residential,1.28586,103.83298,55553,21161,59.8
Clarke Quay / River Valley,leisure,1.29315,103.84599,45910,20431,51.5
Tengah,residential,1.35349,103.73042,66227,18997,80.9
Paya Lebar,cbd,1.31575,103.89549,48663,18199,69.2
Tuas,industrial,1.30247,103.65315,59916,17974,65.6
Changi Business Park / Expo,cbd,1.33638,103.95944,55866,17415,78.8
Holland Village,leisure,1.30797,103.7982,52725,16957,66.6
Bishan,residential,1.35009,103.84526,53491,16804,76.7
NTU / Pioneer,education,1.33802,103.68869,49156,15802,64.3
Chinatown,cbd,1.28421,103.84279,27939,14390,56.1
Seletar,industrial,1.40001,103.87293,40679,13628,51.4
Loyang,industrial,1.36601,103.96696,45383,13612,80.4
Novena,residential,1.32282,103.84584,40279,13372,79.9
Marine Parade / Katong,residential,1.30361,103.89366,39596,13275,62.1
Alexandra / Labrador,cbd,1.28014,103.80665,32564,12262,66.9
Tanjong Pagar,cbd,1.27588,103.84381,27283,11391,66.0
Changi Airport,airport,1.36665,103.99529,26757,11293,61.9
One-North / Buona Vista,cbd,1.3015,103.79053,29817,10929,68.2
HarbourFront,leisure,1.26505,103.82041,22599,10227,65.9
Queenstown,residential,1.29385,103.78884,29745,10099,81.2
Newton,residential,1.31636,103.8344,23619,8386,70.4
Woodlands Checkpoint,transport,1.43962,103.77456,25881,8257,75.4
Kranji,industrial,1.42304,103.75982,24548,8072,72.5
Marina Bay,cbd,1.28208,103.86029,16017,7961,60.2
NUS / Kent Ridge,education,1.29525,103.77007,17617,6234,63.6
Sentosa,leisure,1.24741,103.83303,9062,3319,69.3
Pasir Panjang,industrial,1.27346,103.78721,9173,3271,61.7
Mandai,leisure,1.40452,103.80716,6132,2643,59.6
Jurong Island,industrial,1.26899,103.6964,7808,2538,61.4
Lim Chu Kang,industrial,1.42572,103.71059,2358,850,63.1
Tuas Checkpoint,transport,1.34041,103.63775,2088,838,63.0
